match,date,time,home_team,away_team,goals_home,goals_away,referee,attendance,league,season,matchweek
0,29/03/2003,15:00,Atlético-PR,Grêmio,2,0,,,Serie A,2003,1
1,29/03/2003,15:00,Guarani,Vasco da Gama,4,2,,,Serie A,2003,1
2,30/03/2003,16:00,Cruzeiro,São Caetano,2,2,,,Serie A,2003,1
3,30/03/2003,16:00,Criciúma,Fluminense,2,0,,,Serie A,2003,1
4,30/03/2003,16:00,Vitória,Figueirense,1,1,,,Serie A,2003,1
5,30/03/2003,16:00,Flamengo,Coritiba,1,1,,,Serie A,2003,1
6,30/03/2003,16:00,Juventude,São Paulo,2,2,,,Serie A,2003,1
7,30/03/2003,16:00,Goiás,Paysandu,2,2,,,Serie A,2003,1
8,30/03/2003,16:00,Fortaleza,Bahia,0,0,,,Serie A,2003,1
9,30/03/2003,16:00,Internacional,Ponte Preta,1,1,,,Serie A,2003,1
10,30/03/2003,18:00,Santos,Paraná,2,2,,,Serie A,2003,1
11,30/03/2003,18:00,Corinthians,Atlético-MG,0,3,,,Serie A,2003,1
12,05/04/2003,16:00,Atlético-MG,Santos,0,0,,,Serie A,2003,2
13,05/04/2003,16:00,Coritiba,Internacional,0,1,,,Serie A,2003,2
14,05/04/2003,16:00,Fluminense,Fortaleza,1,1,,,Serie A,2003,2
15,05/04/2003,18:00,Grêmio,Guarani,3,1,,,Serie A,2003,2
16,06/04/2003,16:00,Bahia,Flamengo,1,2,,,Serie A,2003,2
17,06/04/2003,16:00,Paraná,Atlético-PR,3,0,,,Serie A,2003,2
18,06/04/2003,16:00,Figueirense,Corinthians,3,3,,,Serie A,2003,2
19,06/04/2003,16:00,São Caetano,Criciúma,3,2,,,Serie A,2003,2
20,06/04/2003,16:00,Paysandu,Vitória,1,2,,,Serie A,2003,2
21,06/04/2003,16:00,Ponte Preta,Juventude,1,0,,,Serie A,2003,2
22,06/04/2003,18:00,São Paulo,Cruzeiro,2,4,Giulliano Bozzano (DF),5580,Serie A,2003,2
23,06/04/2003,18:00,Vasco da Gama,Goiás,6,4,,,Serie A,2003,2
24,12/04/2003,16:00,Internacional,Bahia,2,0,,,Serie A,2003,3
25,12/04/2003,16:00,Santos,Figueirense,2,0,,,Serie A,2003,3
26,12/04/2003,16:00,Atlético-PR,Atlético-MG,1,2,,,Serie A,2003,3
27,12/04/2003,18:00,Corinthians,Paysandu,6,1,,,Serie A,2003,3
28,13/04/2003,16:00,Juventude,Coritiba,2,1,,,Serie A,2003,3
29,13/04/2003,16:00,Vitória,Vasco da Gama,2,1,,,Serie A,2003,3
30,13/04/2003,16:00,Guarani,Paraná,2,0,,,Serie A,2003,3
31,13/04/2003,16:00,Criciúma,São Paulo,1,1,,,Serie A,2003,3
32,13/04/2003,16:00,Goiás,Grêmio,1,1,,,Serie A,2003,3
33,13/04/2003,16:00,Fortaleza,São Caetano,1,1,,,Serie A,2003,3
34,13/04/2003,18:00,Cruzeiro,Ponte Preta,3,0,,,Serie A,2003,3
35,13/04/2003,18:00,Flamengo,Fluminense,4,1,,,Serie A,2003,3
36,09/04/2003,21:40,Paysandu,Santos,2,1,,,Serie A,2003,4
37,16/04/2003,20:30,Atlético-MG,Guarani,3,2,,,Serie A,2003,4
38,16/04/2003,20:30,Figueirense,Atlético-PR,1,1,,,Serie A,2003,4
39,16/04/2003,20:30,Bahia,Juventude,3,1,,,Serie A,2003,4
40,16/04/2003,20:30,Ponte Preta,Criciúma,1,1,,,Serie A,2003,4
41,16/04/2003,20:30,Grêmio,Vitória,2,1,,,Serie A,2003,4
42,16/04/2003,21:40,São Caetano,Flamengo,1,1,,,Serie A,2003,4
43,16/04/2003,21:40,Vasco da Gama,Corinthians,2,2,,,Serie A,2003,4
44,16/04/2003,21:40,Coritiba,Cruzeiro,3,4,,,Serie A,2003,4
45,17/04/2003,20:30,São Paulo,Fortaleza,3,1,,,Serie A,2003,4
46,17/04/2003,20:30,Paraná,Goiás,3,1,,,Serie A,2003,4
47,17/04/2003,20:30,Fluminense,Internacional,3,1,,,Serie A,2003,4
48,19/04/2003,16:00,Bahia,Atlético-MG,2,4,,,Serie A,2003,5
49,19/04/2003,16:00,São Caetano,Grêmio,1,1,,,Serie A,2003,5
50,19/04/2003,18:00,Flamengo,Santos,0,2,,,Serie A,2003,5
51,20/04/2003,16:00,Fortaleza,Atlético-PR,1,0,,,Serie A,2003,5
52,20/04/2003,16:00,Internacional,Corinthians,2,1,,,Serie A,2003,5
53,20/04/2003,16:00,Ponte Preta,Paysandu,4,4,,,Serie A,2003,5
54,20/04/2003,16:00,Criciúma,Guarani,1,0,,,Serie A,2003,5
55,20/04/2003,16:00,Juventude,Vitória,1,1,,,Serie A,2003,5
56,20/04/2003,16:00,São Paulo,Vasco da Gama,3,1,,,Serie A,2003,5
57,20/04/2003,18:00,Cruzeiro,Goiás,4,1,,,Serie A,2003,5
58,20/04/2003,18:00,Fluminense,Paraná,0,0,,,Serie A,2003,5
59,21/04/2003,20:30,Coritiba,Figueirense,1,0,,,Serie A,2003,5
60,26/04/2003,16:00,Atlético-MG,Coritiba,1,2,,,Serie A,2003,6
61,26/04/2003,16:00,Paraná,Bahia,3,1,,,Serie A,2003,6
62,26/04/2003,16:00,Vitória,Internacional,0,3,,,Serie A,2003,6
63,26/04/2003,18:00,Guarani,Cruzeiro,1,1,,,Serie A,2003,6
64,27/04/2003,16:00,Santos,Fortaleza,4,0,,,Serie A,2003,6
65,27/04/2003,16:00,Corinthians,Flamengo,1,1,,,Serie A,2003,6
66,27/04/2003,16:00,Grêmio,Fluminense,0,1,,,Serie A,2003,6
67,27/04/2003,16:00,Goiás,Juventude,7,0,,,Serie A,2003,6
68,27/04/2003,16:00,Atlético-PR,Criciúma,4,2,,,Serie A,2003,6
69,27/04/2003,16:00,Figueirense,Ponte Preta,0,0,,,Serie A,2003,6
70,27/04/2003,18:00,Vasco da Gama,São Caetano,1,0,,,Serie A,2003,6
71,27/04/2003,18:00,Paysandu,São Paulo,5,2,,,Serie A,2003,6
72,03/05/2003,16:00,Flamengo,Vitória,2,1,,,Serie A,2003,7
73,03/05/2003,16:00,Bahia,Grêmio,2,1,,,Serie A,2003,7
74,03/05/2003,18:00,Cruzeiro,Atlético-PR,5,2,,,Serie A,2003,7
75,04/05/2003,16:00,Coritiba,Paraná,2,1,,,Serie A,2003,7
76,04/05/2003,16:00,Internacional,Goiás,2,1,,,Serie A,2003,7
77,04/05/2003,16:00,Fortaleza,Corinthians,1,2,,,Serie A,2003,7
78,04/05/2003,16:00,Ponte Preta,Atlético-MG,2,1,,,Serie A,2003,7
79,04/05/2003,16:00,São Paulo,Figueirense,3,2,,,Serie A,2003,7
80,04/05/2003,16:00,Juventude,Guarani,1,1,,,Serie A,2003,7
81,04/05/2003,16:00,São Caetano,Paysandu,2,0,,,Serie A,2003,7
82,04/05/2003,18:00,Criciúma,Santos,1,3,,,Serie A,2003,7
83,04/05/2003,18:00,Fluminense,Vasco da Gama,0,0,,,Serie A,2003,7
84,10/05/2003,16:00,Goiás,Flamengo,1,1,,,Serie A,2003,8
85,10/05/2003,16:00,Santos,Cruzeiro,0,2,,,Serie A,2003,8
86,10/05/2003,16:00,Paraná,Ponte Preta,3,2,,,Serie A,2003,8
87,10/05/2003,18:00,Corinthians,Criciúma,3,0,,,Serie A,2003,8
88,11/05/2003,16:00,Vitória,Fortaleza,2,1,,,Serie A,2003,8
89,11/05/2003,16:00,Vasco da Gama,Bahia,1,1,,,Serie A,2003,8
90,11/05/2003,16:00,Guarani,Internacional,3,0,,,Serie A,2003,8
91,11/05/2003,16:00,Paysandu,Fluminense,2,2,,,Serie A,2003,8
92,11/05/2003,16:00,Atlético-PR,Juventude,2,0,,,Serie A,2003,8
93,11/05/2003,16:00,Atlético-MG,São Paulo,2,2,Carlos Simon,,Serie A,2003,8
94,11/05/2003,16:00,Figueirense,São Caetano,3,0,,,Serie A,2003,8
95,11/05/2003,18:00,Grêmio,Coritiba,1,0,,,Serie A,2003,8
96,17/05/2003,16:00,São Caetano,Atlético-MG,2,0,,,Serie A,2003,9
97,17/05/2003,16:00,Fluminense,Figueirense,3,0,,,Serie A,2003,9
98,17/05/2003,18:00,Juventude,Santos,1,1,,,Serie A,2003,9
99,18/05/2003,16:00,Internacional,Atlético-PR,1,1,,,Serie A,2003,9
100,18/05/2003,16:00,Ponte Preta,Grêmio,2,1,,,Serie A,2003,9
101,18/05/2003,16:00,Coritiba,Vasco da Gama,1,1,,,Serie A,2003,9
102,18/05/2003,16:00,Criciúma,Vitória,1,1,,,Serie A,2003,9
103,18/05/2003,16:00,Cruzeiro,Corinthians,1,1,,,Serie A,2003,9
104,18/05/2003,16:00,Bahia,Paysandu,2,0,,,Serie A,2003,9
105,18/05/2003,16:00,Fortaleza,Goiás,1,0,,,Serie A,2003,9
106,18/05/2003,18:00,Flamengo,Guarani,1,1,,,Serie A,2003,9
107,18/05/2003,18:00,São Paulo,Paraná,2,0,,,Serie A,2003,9
108,24/05/2003,16:00,Atlético-MG,Fluminense,3,0,,,Serie A,2003,10
109,24/05/2003,16:00,Paraná,São Caetano,1,1,,,Serie A,2003,10
110,24/05/2003,16:00,Corinthians,Juventude,3,0,,,Serie A,2003,10
111,24/05/2003,18:00,Vasco da Gama,Ponte Preta,1,0,,,Serie A,2003,10
112,25/05/2003,16:00,Grêmio,São Paulo,1,2,,,Serie A,2003,10
113,25/05/2003,16:00,Atlético-PR,Flamengo,4,1,,,Serie A,2003,10
114,25/05/2003,16:00,Guarani,Fortaleza,2,1,,,Serie A,2003,10
115,25/05/2003,16:00,Paysandu,Coritiba,1,3,,,Serie A,2003,10
116,25/05/2003,16:00,Figueirense,Bahia,1,0,,,Serie A,2003,10
117,25/05/2003,16:00,Goiás,Criciúma,0,2,,,Serie A,2003,10
118,25/05/2003,18:00,Santos,Internacional,2,1,,,Serie A,2003,10
119,25/05/2003,18:00,Vitória,Cruzeiro,2,1,,,Serie A,2003,10
120,31/05/2003,16:00,Cruzeiro,Criciúma,2,0,,,Serie A,2003,11
121,31/05/2003,16:00,Coritiba,Guarani,3,2,,,Serie A,2003,11
122,31/05/2003,16:00,Ponte Preta,São Caetano,0,0,,,Serie A,2003,11
123,31/05/2003,16:00,Fluminense,Atlético-PR,2,1,,,Serie A,2003,11
124,31/05/2003,18:00,Internacional,Paysandu,2,1,,,Serie A,2003,11
125,01/06/2003,16:00,Figueirense,Grêmio,2,1,,,Serie A,2003,11
126,01/06/2003,16:00,Paraná,Flamengo,6,2,,,Serie A,2003,11
127,01/06/2003,16:00,Santos,São Paulo,3,2,,,Serie A,2003,11
128,01/06/2003,16:00,Bahia,Goiás,2,1,,,Serie A,2003,11
129,01/06/2003,16:00,Fortaleza,Juventude,3,1,,,Serie A,2003,11
130,01/06/2003,18:00,Vasco da Gama,Atlético-MG,2,2,,,Serie A,2003,11
131,01/06/2003,18:00,Corinthians,Vitória,4,0,,,Serie A,2003,11
132,18/04/2003,20:30,Flamengo,Cruzeiro,3,0,,,Serie A,2003,12
133,07/06/2003,16:00,Vitória,Fluminense,2,1,,,Serie A,2003,12
134,07/06/2003,16:00,Guarani,Santos,1,2,,,Serie A,2003,12
135,07/06/2003,16:00,Grêmio,Fortaleza,3,1,,,Serie A,2003,12
136,07/06/2003,18:00,Atlético-MG,Figueirense,1,1,,,Serie A,2003,12
137,08/06/2003,16:00,Goiás,Coritiba,1,2,,,Serie A,2003,12
138,08/06/2003,16:00,Paysandu,Paraná,3,0,,,Serie A,2003,12
139,08/06/2003,16:00,São Caetano,Corinthians,1,0,,,Serie A,2003,12
140,08/06/2003,16:00,Juventude,Vasco da Gama,0,0,,,Serie A,2003,12
141,08/06/2003,16:00,Atlético-PR,Ponte Preta,4,2,,,Serie A,2003,12
142,08/06/2003,18:00,São Paulo,Bahia,2,2,,,Serie A,2003,12
143,08/06/2003,18:00,Criciúma,Internacional,1,0,,,Serie A,2003,12
144,14/06/2003,16:00,Fluminense,Goiás,2,3,,,Serie A,2003,13
145,14/06/2003,16:00,Ponte Preta,Guarani,0,2,,,Serie A,2003,13
146,14/06/2003,18:00,Coritiba,Atlético-PR,2,0,,,Serie A,2003,13
147,15/06/2003,16:00,Corinthians,São Paulo,1,2,,,Serie A,2003,13
148,15/06/2003,16:00,Santos,São Caetano,0,1,,,Serie A,2003,13
149,15/06/2003,16:00,Fortaleza,Paysandu,1,2,,,Serie A,2003,13
150,15/06/2003,16:00,Criciúma,Figueirense,1,0,,,Serie A,2003,13
151,15/06/2003,16:00,Paraná,Juventude,1,2,,,Serie A,2003,13
152,15/06/2003,16:00,Bahia,Vitória,2,1,,,Serie A,2003,13
153,15/06/2003,16:00,Grêmio,Internacional,0,0,,,Serie A,2003,13
154,15/06/2003,18:00,Vasco da Gama,Flamengo,1,2,,,Serie A,2003,13
155,15/06/2003,18:00,Cruzeiro,Atlético-MG,0,0,,,Serie A,2003,13
156,19/06/2003,16:00,Bahia,Coritiba,2,2,,,Serie A,2003,14
157,21/06/2003,16:00,Vasco da Gama,Criciúma,2,0,,,Serie A,2003,14
158,21/06/2003,16:00,Atlético-MG,Grêmio,3,2,,,Serie A,2003,14
159,21/06/2003,16:00,Internacional,Paraná,2,1,,,Serie A,2003,14
160,21/06/2003,18:00,São Paulo,Goiás,1,0,,,Serie A,2003,14
161,22/06/2003,16:00,São Caetano,Vitória,2,1,,,Serie A,2003,14
162,22/06/2003,16:00,Figueirense,Fortaleza,2,2,,,Serie A,2003,14
163,22/06/2003,16:00,Paysandu,Flamengo,2,2,,,Serie A,2003,14
164,22/06/2003,16:00,Ponte Preta,Corinthians,3,3,,,Serie A,2003,14
165,22/06/2003,18:00,Juventude,Cruzeiro,0,1,,,Serie A,2003,14
166,22/06/2003,18:00,Fluminense,Guarani,5,2,,,Serie A,2003,14
167,30/07/2003,20:30,Atlético-PR,Santos,0,2,,,Serie A,2003,14
168,28/06/2003,16:00,Fortaleza,Vasco da Gama,0,1,,,Serie A,2003,15
169,28/06/2003,16:00,Coritiba,São Caetano,2,0,,,Serie A,2003,15
170,28/06/2003,16:00,Grêmio,Juventude,1,4,,,Serie A,2003,15
171,28/06/2003,16:00,Santos,Bahia,4,0,,,Serie A,2003,15
172,28/06/2003,18:00,Flamengo,Figueirense,0,2,,,Serie A,2003,15
173,29/06/2003,16:00,Vitória,Atlético-PR,1,0,,,Serie A,2003,15
174,29/06/2003,16:00,Corinthians,Fluminense,1,0,,,Serie A,2003,15
175,29/06/2003,16:00,Guarani,São Paulo,0,1,,,Serie A,2003,15
176,29/06/2003,16:00,Criciúma,Paysandu,2,0,,,Serie A,2003,15
177,29/06/2003,18:00,Cruzeiro,Internacional,3,2,,,Serie A,2003,15
178,29/06/2003,18:00,Paraná,Atlético-MG,1,1,,,Serie A,2003,15
179,30/07/2003,20:30,Goiás,Ponte Preta,0,0,,,Serie A,2003,15
180,05/07/2003,16:00,São Paulo,São Caetano,1,1,,,Serie A,2003,16
181,05/07/2003,16:00,Figueirense,Cruzeiro,1,0,,,Serie A,2003,16
182,05/07/2003,16:00,Atlético-MG,Paysandu,3,2,,,Serie A,2003,16
183,05/07/2003,16:00,Vasco da Gama,Paraná,1,4,,,Serie A,2003,16
184,06/07/2003,16:00,Fortaleza,Criciúma,0,1,,,Serie A,2003,16
185,06/07/2003,16:00,Guarani,Goiás,3,2,,,Serie A,2003,16
186,06/07/2003,16:00,Vitória,Ponte Preta,1,4,,,Serie A,2003,16
187,06/07/2003,16:00,Atlético-PR,Corinthians,3,1,,,Serie A,2003,16
188,06/07/2003,16:00,Juventude,Internacional,1,1,,,Serie A,2003,16
189,06/07/2003,16:00,Grêmio,Flamengo,2,0,,,Serie A,2003,16
190,06/07/2003,18:00,Santos,Coritiba,3,1,,,Serie A,2003,16
191,06/07/2003,18:00,Fluminense,Bahia,1,0,,,Serie A,2003,16
192,09/07/2003,16:00,Corinthians,Santos,1,1,,,Serie A,2003,17
193,09/07/2003,16:00,São Caetano,Atlético-PR,0,0,,,Serie A,2003,17
194,09/07/2003,20:30,Goiás,Vitória,1,1,,,Serie A,2003,17
195,09/07/2003,20:30,Cruzeiro,Fortaleza,2,0,,,Serie A,2003,17
196,09/07/2003,20:30,Flamengo,Juventude,2,1,,,Serie A,2003,17
197,09/07/2003,20:30,Bahia,Guarani,2,0,,,Serie A,2003,17
198,09/07/2003,20:30,Paysandu,Figueirense,1,0,,,Serie A,2003,17
199,09/07/2003,21:40,Coritiba,São Paulo,0,2,,,Serie A,2003,17
200,09/07/2003,21:40,Internacional,Vasco da Gama,2,1,,,Serie A,2003,17
201,10/07/2003,20:30,Ponte Preta,Fluminense,3,0,,,Serie A,2003,17
202,10/07/2003,20:30,Criciúma,Atlético-MG,1,0,,,Serie A,2003,17
203,10/07/2003,20:30,Paraná,Grêmio,3,1,,,Serie A,2003,17
204,12/07/2003,16:00,Atlético-PR,Goiás,0,0,,,Serie A,2003,18
205,12/07/2003,16:00,Fortaleza,Internacional,3,0,,,Serie A,2003,18
206,12/07/2003,18:00,Vasco da Gama,Paysandu,0,2,,,Serie A,2003,18
207,13/07/2003,16:00,Criciúma,Juventude,3,0,,,Serie A,2003,18
208,13/07/2003,16:00,Atlético-MG,Flamengo,1,0,,,Serie A,2003,18
209,13/07/2003,16:00,Figueirense,Paraná,4,2,,,Serie A,2003,18
210,13/07/2003,16:00,Ponte Preta,Bahia,1,0,,,Serie A,2003,18
211,13/07/2003,16:00,São Caetano,Guarani,0,2,,,Serie A,2003,18
212,13/07/2003,16:00,Corinthians,Coritiba,0,1,,,Serie A,2003,18
213,13/07/2003,16:00,Fluminense,São Paulo,1,3,,,Serie A,2003,18
214,13/07/2003,18:00,Grêmio,Cruzeiro,0,1,,,Serie A,2003,18
215,13/07/2003,18:00,Vitória,Santos,2,0,,,Serie A,2003,18
216,16/07/2003,20:30,Internacional,Atlético-MG,3,3,,,Serie A,2003,19
217,16/07/2003,20:30,Bahia,São Caetano,0,0,,,Serie A,2003,19
218,16/07/2003,20:30,Coritiba,Fluminense,3,0,,,Serie A,2003,19
219,16/07/2003,20:30,Flamengo,Fortaleza,0,2,,,Serie A,2003,19
220,16/07/2003,20:30,Guarani,Vitória,2,2,,,Serie A,2003,19
221,16/07/2003,20:30,Juventude,Figueirense,1,2,,,Serie A,2003,19
222,16/07/2003,21:40,Santos,Ponte Preta,2,1,,,Serie A,2003,19
223,16/07/2003,21:40,Cruzeiro,Vasco da Gama,4,1,,,Serie A,2003,19
224,16/07/2003,21:40,Goiás,Corinthians,1,1,,,Serie A,2003,19
225,17/07/2003,20:30,Paysandu,Grêmio,1,1,,,Serie A,2003,19
226,17/07/2003,20:30,São Paulo,Atlético-PR,2,0,,,Serie A,2003,19
227,31/07/2003,20:30,Paraná,Criciúma,2,1,,,Serie A,2003,19
228,19/07/2003,16:00,Fluminense,Santos,1,4,,,Serie A,2003,20
229,19/07/2003,16:00,Corinthians,Guarani,1,0,,,Serie A,2003,20
230,19/07/2003,16:00,Fortaleza,Atlético-MG,4,3,,,Serie A,2003,20
231,19/07/2003,18:00,Internacional,Figueirense,3,0,,,Serie A,2003,20
232,20/07/2003,16:00,Criciúma,Flamengo,4,3,,,Serie A,2003,20
233,20/07/2003,16:00,Juventude,Paysandu,2,0,,,Serie A,2003,20
234,20/07/2003,16:00,Goiás,São Caetano,2,1,,,Serie A,2003,20
235,20/07/2003,16:00,Atlético-PR,Bahia,2,1,,,Serie A,2003,20
236,20/07/2003,16:00,Vitória,São Paulo,0,2,,,Serie A,2003,20
237,20/07/2003,16:00,Ponte Preta,Coritiba,1,1,,,Serie A,2003,20
238,20/07/2003,18:00,Vasco da Gama,Grêmio,2,0,,,Serie A,2003,20
239,20/07/2003,18:00,Cruzeiro,Paraná,5,1,,,Serie A,2003,20
240,23/07/2003,20:30,Guarani,Atlético-PR,1,0,,,Serie A,2003,21
241,23/07/2003,20:30,Paraná,Fortaleza,4,1,,,Serie A,2003,21
242,23/07/2003,20:30,Atlético-MG,Juventude,2,1,,,Serie A,2003,21
243,23/07/2003,20:30,Paysandu,Cruzeiro,3,0,,,Serie A,2003,21
244,23/07/2003,21:40,Bahia,Corinthians,0,0,,,Serie A,2003,21
245,23/07/2003,21:40,Figueirense,Vasco da Gama,0,0,,,Serie A,2003,21
246,23/07/2003,21:40,Santos,Goiás,3,3,,,Serie A,2003,21
247,24/07/2003,20:30,São Caetano,Fluminense,2,0,,,Serie A,2003,21
248,24/07/2003,20:30,Coritiba,Vitória,1,1,,,Serie A,2003,21
249,24/07/2003,20:30,São Paulo,Ponte Preta,1,2,,,Serie A,2003,21
250,24/07/2003,20:30,Grêmio,Criciúma,0,2,,,Serie A,2003,21
251,24/07/2003,20:30,Flamengo,Internacional,2,1,,,Serie A,2003,21
252,26/07/2003,16:00,Goiás,Atlético-MG,1,1,,,Serie A,2003,22
253,26/07/2003,16:00,Atlético-PR,Paysandu,1,1,,,Serie A,2003,22
254,26/07/2003,16:00,Santos,Vasco da Gama,2,1,,,Serie A,2003,22
255,27/07/2003,09:00,Fortaleza,Ponte Preta,2,3,,,Serie A,2003,22
256,27/07/2003,16:00,Vitória,Paraná,0,3,,,Serie A,2003,22
257,27/07/2003,16:00,Flamengo,São Paulo,1,1,,,Serie A,2003,22
258,27/07/2003,16:00,Corinthians,Grêmio,1,0,,,Serie A,2003,22
259,27/07/2003,16:00,Criciúma,Coritiba,2,3,,,Serie A,2003,22
260,27/07/2003,16:00,Guarani,Figueirense,3,0,,,Serie A,2003,22
261,27/07/2003,16:00,Juventude,Fluminense,2,1,,,Serie A,2003,22
262,27/07/2003,18:00,Cruzeiro,Bahia,5,2,,,Serie A,2003,22
263,27/07/2003,18:00,Internacional,São Caetano,0,0,,,Serie A,2003,22
264,02/08/2003,16:00,Fluminense,Cruzeiro,2,2,,,Serie A,2003,23
265,02/08/2003,16:00,Grêmio,Santos,2,0,,,Serie A,2003,23
266,02/08/2003,18:00,São Caetano,Juventude,1,1,,,Serie A,2003,23
267,02/08/2003,18:00,São Paulo,Internacional,0,2,,,Serie A,2003,23
268,03/08/2003,16:00,Paysandu,Guarani,6,1,,,Serie A,2003,23
269,03/08/2003,16:00,Coritiba,Fortaleza,1,1,,,Serie A,2003,23
270,03/08/2003,16:00,Figueirense,Goiás,0,1,,,Serie A,2003,23
271,03/08/2003,16:00,Bahia,Criciúma,2,2,,,Serie A,2003,23
272,03/08/2003,16:00,Paraná,Corinthians,1,1,,,Serie A,2003,23
273,03/08/2003,16:00,Ponte Preta,Flamengo,1,1,,,Serie A,2003,23
274,03/08/2003,18:00,Vasco da Gama,Atlético-PR,2,1,,,Serie A,2003,23
275,03/08/2003,18:00,Atlético-MG,Vitória,1,0,,,Serie A,2003,23
276,06/08/2003,20:30,Criciúma,São Caetano,0,1,,,Serie A,2003,24
277,06/08/2003,20:30,Fortaleza,Fluminense,3,1,,,Serie A,2003,24
278,06/08/2003,20:30,Vitória,Paysandu,1,1,,,Serie A,2003,24
279,06/08/2003,20:30,Juventude,Ponte Preta,0,0,,,Serie A,2003,24
280,06/08/2003,20:30,Atlético-PR,Paraná,1,0,,,Serie A,2003,24
281,06/08/2003,21:40,Goiás,Vasco da Gama,3,1,,,Serie A,2003,24
282,06/08/2003,21:40,Cruzeiro,São Paulo,1,1,,,Serie A,2003,24
283,06/08/2003,21:40,Santos,Atlético-MG,3,3,,,Serie A,2003,24
284,07/08/2003,15:00,Internacional,Coritiba,1,0,,,Serie A,2003,24
285,07/08/2003,20:30,Corinthians,Figueirense,0,1,,,Serie A,2003,24
286,07/08/2003,20:30,Guarani,Grêmio,2,0,,,Serie A,2003,24
287,07/08/2003,20:30,Flamengo,Bahia,6,0,,,Serie A,2003,24
288,09/08/2003,16:00,Fluminense,Criciúma,1,1,,,Serie A,2003,25
289,09/08/2003,16:00,São Caetano,Cruzeiro,2,0,,,Serie A,2003,25
290,09/08/2003,16:00,Paraná,Santos,1,2,,,Serie A,2003,25
291,09/08/2003,18:00,São Paulo,Juventude,3,1,,,Serie A,2003,25
292,10/08/2003,16:00,Atlético-MG,Corinthians,2,3,,,Serie A,2003,25
293,10/08/2003,16:00,Paysandu,Goiás,2,2,,,Serie A,2003,25
294,10/08/2003,16:00,Figueirense,Vitória,1,2,,,Serie A,2003,25
295,10/08/2003,16:00,Ponte Preta,Internacional,1,4,,,Serie A,2003,25
296,10/08/2003,16:00,Bahia,Fortaleza,1,0,,,Serie A,2003,25
297,10/08/2003,16:00,Coritiba,Flamengo,5,0,,,Serie A,2003,25
298,10/08/2003,18:00,Grêmio,Atlético-PR,1,1,,,Serie A,2003,25
299,10/08/2003,18:00,Vasco da Gama,Guarani,0,0,,,Serie A,2003,25
300,16/08/2003,16:00,Coritiba,Juventude,1,0,,,Serie A,2003,26
301,16/08/2003,16:00,Vasco da Gama,Vitória,1,0,,,Serie A,2003,26
302,16/08/2003,16:00,Bahia,Internacional,1,3,,,Serie A,2003,26
303,16/08/2003,16:00,Figueirense,Santos,1,0,,,Serie A,2003,26
304,16/08/2003,18:00,Atlético-MG,Atlético-PR,1,2,,,Serie A,2003,26
305,16/08/2003,18:00,São Paulo,Criciúma,0,0,,,Serie A,2003,26
306,17/08/2003,16:00,Paysandu,Corinthians,2,2,,,Serie A,2003,26
307,17/08/2003,16:00,Grêmio,Goiás,0,1,,,Serie A,2003,26
308,17/08/2003,16:00,São Caetano,Fortaleza,3,0,,,Serie A,2003,26
309,17/08/2003,16:00,Ponte Preta,Cruzeiro,1,3,,,Serie A,2003,26
310,17/08/2003,16:00,Paraná,Guarani,0,0,,,Serie A,2003,26
311,17/08/2003,18:00,Fluminense,Flamengo,0,1,,,Serie A,2003,26
312,20/08/2003,20:30,Cruzeiro,Coritiba,2,2,,,Serie A,2003,27
313,20/08/2003,20:30,Flamengo,São Caetano,1,0,,,Serie A,2003,27
314,20/08/2003,20:30,Atlético-PR,Figueirense,1,2,,,Serie A,2003,27
315,20/08/2003,20:30,Goiás,Paraná,1,0,,,Serie A,2003,27
316,20/08/2003,20:30,Vitória,Grêmio,4,1,,,Serie A,2003,27
317,20/08/2003,20:30,Juventude,Bahia,1,0,,,Serie A,2003,27
318,20/08/2003,21:40,Fortaleza,São Paulo,0,2,,,Serie A,2003,27
319,20/08/2003,21:40,Corinthians,Vasco da Gama,0,0,,,Serie A,2003,27
320,20/08/2003,21:40,Santos,Paysandu,2,0,,,Serie A,2003,27
321,21/08/2003,15:00,Internacional,Fluminense,0,1,,,Serie A,2003,27
322,21/08/2003,20:30,Guarani,Atlético-MG,2,2,,,Serie A,2003,27
323,21/08/2003,20:30,Criciúma,Ponte Preta,3,0,,,Serie A,2003,27
324,23/08/2003,16:00,Goiás,Cruzeiro,1,0,,,Serie A,2003,28
325,23/08/2003,16:00,Santos,Flamengo,2,1,,,Serie A,2003,28
326,23/08/2003,16:00,Atlético-PR,Fortaleza,3,1,,,Serie A,2003,28
327,23/08/2003,18:00,Grêmio,São Caetano,0,0,,,Serie A,2003,28
328,24/08/2003,16:00,Paraná,Fluminense,2,0,,,Serie A,2003,28
329,24/08/2003,16:00,Vitória,Juventude,3,0,,,Serie A,2003,28
330,24/08/2003,16:00,Vasco da Gama,São Paulo,3,2,,,Serie A,2003,28
331,24/08/2003,16:00,Guarani,Criciúma,1,0,,,Serie A,2003,28
332,24/08/2003,16:00,Paysandu,Ponte Preta,3,2,,,Serie A,2003,28
333,24/08/2003,16:00,Figueirense,Coritiba,1,2,,,Serie A,2003,28
334,24/08/2003,18:00,Corinthians,Internacional,3,1,,,Serie A,2003,28
335,24/08/2003,18:00,Atlético-MG,Bahia,1,0,,,Serie A,2003,28
336,30/08/2003,16:00,Fluminense,Grêmio,2,0,,,Serie A,2003,29
