,match,team,time,player,desc
20827,8127,a,19',Yuri Alberto,Gol
20828,8127,a,28',Ruan Oliveira,Gol
20829,8128,a,35',Guga,Gol-contra
20830,8128,h,45+1',Samuel Xavier,Gol
20831,8129,h,90+3',Thaciano,Gol
20832,8130,a,25',Danilo Avelar,Gol
20833,8130,a,35',Éder,Segundo cartão amarelo
20834,8130,h,40',Matheus Cavichioli,Gol-contra
20835,8130,h,61',Mathías Villasanti,Gol
20836,8130,h,69',Luis Suárez,Gol
20837,8131,a,60',Tiquinho Soares,Gol de pênalti
20838,8132,a,66',Pedro Henrique,Gol de pênalti
20839,8133,a,73',Everton Morelli,Gol
20840,8134,h,40',Eduardo Santos,Gol
20841,8134,h,49',Henry Mosquera,Gol
20842,8134,h,76',Alerrandro,Gol
20843,8134,h,81',Henry Mosquera,Gol
20844,8135,h,36',Vitor Roque,Gol
20845,8136,a,28',Vinicius Mingotti,Gol
20846,8136,h,37',Nino,Cartão vermelho
20847,8136,h,49',Lelê,Gol
20848,8136,h,51',Gabriel Pirani,Gol
20849,8137,h,54',Tomás Pochettino,Gol
20850,8137,h,62',Tinga,Gol
20851,8137,a,87',Alan Kardec,Gol
20852,8137,a,89',Renzo Saravia,Cartão vermelho
20853,8138,h,3',Rafinha,Gol-contra
20854,8139,a,28',Tiquinho Soares,Gol
20855,8139,h,82',Raphael Veiga,Pênalti perdido
20856,8140,h,34',Franco Cristaldo,Gol de pênalti
20857,8140,a,41',Alef Manga,Gol
20858,8140,h,48',Mathías Villasanti,Gol
20859,8140,h,54',Bitello,Gol
20860,8140,h,66',Luis Suárez,Gol
20861,8140,h,84',André Henrique,Gol
20862,8140,a,90+4',Bruno Gomes,Cartão vermelho
20863,8141,h,19',Juninho,Gol
20864,8141,a,63',Jean Dias,Gol
20865,8141,a,85',Alemão,Gol
20866,8142,a,22',Everton,Gol
20867,8142,h,40',Stiven Mendoza,Gol
20868,8142,a,50',Everton Ribeiro,Gol
20869,8142,h,52',Rodrigo Fernández,Gol
20870,8142,a,57',Erick Pulgar,Gol
20871,8143,h,7',Eduardo Sasha,Gol
20872,8143,h,45+2',Sorriso,Gol
20873,8144,h,77',Jair,Gol de pênalti
20874,8145,h,87',Luciano,Gol
20875,8146,a,11',Pikachu,Pênalti perdido
20876,8146,h,14',Gabriel Barbosa,Gol
20877,8146,h,64',Giorgian de Arrascaeta,Gol
20878,8147,a,9',Franco Cristaldo,Gol
20879,8147,h,20',Vinicius Mingotti,Gol
20880,8147,a,90+5',Gustavo Martins,Gol
20881,8148,a,69',Lucas Oliveira,Segundo cartão amarelo
20882,8149,a,17',Eduardo Sasha,Gol
20883,8150,h,0',Hulk,Segundo cartão amarelo
20884,8150,h,2',Matías Zaracho,Gol
20885,8150,h,28',Hulk,Gol
20886,8150,a,58',Gonzalo Mastriani,Gol
20887,8150,a,72',Gonzalo Mastriani,Gol
20888,8151,a,4',Endrick,Pênalti perdido
20889,8151,a,22',Endrick,Gol
20890,8151,a,57',Gabriel Menino,Gol
20891,8151,a,66',Garcia,Segundo cartão amarelo
20892,8151,h,67',Vitor Bueno,Gol de pênalti
20893,8151,h,72',Vitor Roque,Gol
20894,8152,h,53',Luis Henrique,Gol
20895,8152,h,90+5',Carlos Alberto,Gol
20896,8153,h,53',Deyverson,Gol
20897,8153,h,75',Denilson,Gol
20898,8153,h,86',Rikelme,Gol
20899,8154,a,26',Alef Manga,Gol
20900,8154,a,43',Benjamín Kuscevic,Gol
20901,8154,h,69',Dodô,Gol
20902,8155,a,45+4',Filipe Machado,Gol
20903,8156,h,18',Deyverson,Gol de pênalti
20904,8156,a,51',Alan Empereur,Gol-contra
20905,8157,a,8',Juninho,Gol
20906,8157,h,40',Alef Manga,Gol de pênalti
20907,8157,h,44',Robson,Gol
20908,8157,h,90+6',Victor Luís,Gol
20909,8158,a,40',Róger Guedes,Gol
20910,8159,h,24',Dudu,Gol
20911,8159,a,81',Giorgian de Arrascaeta,Gol
20912,8160,h,16',Marcos Leonardo,Gol
20913,8160,h,30',Marcos Leonardo,Gol
20914,8160,a,40',Guilherme,Gol de pênalti
